Primary Street,1st Cross Street,2nd Cross Street,2011,2012,2013,2014,2015
RANCHO PENASQUITOS BLVD,TED WILLIAMS PKWY/RT56,PASEO MONTRIL,28800,28800,26000,29800,29800
RANCHO PENASQUITOS BLVD,PASEO MONTRIL,INTERSTATE 15,30400,30400,30400,33600,33600
REAGAN RD,WESTMORE BLVD,MIRA MESA BLVD,8700,8700,8700,8700,8700
REAGAN RD,MIRA MESA BLVD (W),CAMINO RUIZ,5400,5400,5400,6000,5700
REAGAN RD,CAMINO RUIZ,MIRA MESA BLVD (E),5300,4500,4500,4500,5900
REDWOOD ST,PERSHING DR,30TH ST,6400,6400,6400,6500,6500
REDWOOD ST,30TH ST,32ND ST,5600,5600,4700,4700,4700
REGENTS RD,GENESEE AVE,EASTGATE MALL,11900,12300,12300,13500,13500
REGENTS RD,EASTGATE MALL,EXECUTIVE DR,13600,13600,13600,12800,12000
REGENTS RD,EXECUTIVE DR,LA JOLLA VILLAGE DR,13600,13600,13600,13600,3600
REGENTS RD,LA JOLLA VILLAGE DR,NOBEL DR,12100,12100,12100,12100,12100
REGENTS RD,NOBEL DR,ARRIBA ST,11000,11000,11000,10700,11000
REGENTS RD,GOVERNOR DR,PENNANT WAY,10000,10300,10300,10300,10300
REGENTS RD,PENNANT WAY,ROUTE 52,15000,15200,15200,15200,15200
REGENTS RD,ROUTE 52,LUNA AVE,22100,22100,22100,22600,23500
REO DR/OLIVE AVE,PLAZA BLVD,ALLEGHANY ST,4300,4300,4300,4300,3600
REO DR,ALLEGHANY ST,POTOMAC ST,6600,6600,6600,6600,6600
REO DR,POTOMAC ST,RANCHO HILLS DR,9000,9000,700,700,700
REO DR,RANCHO HILLS DR,VALLEY RD/TONAWANDA DR,11200,11200,11200,11600,11600
REO DR,TONAWANDA DR/PARKSIDE AVE,ROUTE 54,22100,22100,20200,11500,11500
RESERVOIR DR,ALVARADO RD,MONTEZUMA RD,5200,5200,5200,5200,3500
REYNARD WAY,SUTTER ST,CURLEW ST,2000,3600,3800,3800,5000
REYNARD WAY/STATE ST,CURLEW ST,LAUREL ST,7200,7200,7200,7200,7200
RICHMOND ST,WASHINGTON ST,UNIVERSITY AVE,6100,6100,6100,6500,6500
RICHMOND ST,UNIVERSITY AVE,ROBINSON AVE,5300,4900,4900,4900,6100
RICHMOND ST,ROBINSON AVE,UPAS ST,5000,5000,4800,4900,4900
RICHMOND ST RAMP (RT 163),UPAS ST,ROUTE 163,2400,2400,2400,2400,2400
RIDGE MANOR AVE,CAMINO LARGO,WANDEMERE DR,2100,2100,2100,2100,2100
RIDGE MANOR AVE,WANDEMERE DR,MADRA AVE,800,800,800,800,800
RIO SAN DIEGO DR,QUALCOMM WAY,RIVER RUN DR,11900,18500,18500,18500,12900
RIVERDALE ST,ZION ST,FRIARS RD,2900,2900,2900,3100,3100
RIVERDALE ST,FRIARS RD,RANIER AVE,10300,10300,10300,9900,9900
RIVERDALE ST,RANIER AVE,VANDEVER AVE,8100,8100,8100,8700,8700
RIVIERA DR,INGRAHAM ST,PACIFIC BEACH DR,9500,6900,6900,6900,6300
ROBINSON AVE,CURLEW ST,1ST AVE,4000,4000,4000,4000,4000
ROBINSON AVE,1ST AVE,4TH AVE,7100,7100,7100,6000,6000
ROBINSON AVE,4TH AVE,5TH AVE,10200,10200,10200,9300,9300
ROBINSON AVE,5TH AVE,6TH AVE,11700,11700,11700,11700,11700
ROBINSON AVE,6TH AVE,ROUTE 163,12600,12600,12400,12400,12400
ROBINSON AVE,ROUTE 163,RICHMOND ST,10200,10200,10200,10200,10200
ROBINSON AVE,RICHMOND ST,PARK BLVD,9600,9600,7500,7500,7500
ROBINSON AVE,PARK BLVD,FLORIDA ST,4200,4200,4200,4200,4200
ROLANDO BLVD/ARAGON DR,EL CAJON BLVD,UNIVERSITY AVE,2100,2100,2100,2100,1900
RONSON RD,RUFFNER ST,CONVOY ST,4600,4400,4400,4400,4400
RONSON RD,CONVOY ST,MERCURY ST,5400,4400,4400,4400,4400
ROSECRANS ST,PACIFIC HWY,KURTZ ST,23000,23000,23000,23000,23000
ROSECRANS ST,KURTZ ST,SPORTS ARENA BLVD,22400,22400,22400,15700,15700
ROSECRANS ST,SPORTS ARENA BLVD,MIDWAY DR,58700,58700,58700,55600,55600
ROSECRANS ST,MIDWAY DR,LYTTON ST,45000,45000,44700,43500,46400
ROSECRANS ST,LYTTON ST,LOWELL BLVD/NIMITZ BLVD,36200,36200,45400,42400,40900
ROSECRANS ST,LOWELL BLVD/NIMITZ BLVD,NORTH HARBOR DR,35900,35900,31100,31500,31500
ROSECRANS ST,NORTH HARBOR DR,GARRISON ST,33300,33300,31500,29700,29700
ROSECRANS ST,GARRISON ST,SHELTER ISLAND DR/BYRON,34400,34400,34400,31000,38200
ROSECRANS ST,SHELTER ISLAND DR/BYRON,CANON ST,24500,24500,22000,22000,22000
ROSECRANS ST,CANON ST,TALBOT ST,20500,20500,20500,16200,16200
ROSECRANS ST,TALBOT ST,LAWRENCE ST,15200,14900,14900,14900,14500
ROSECRANS ST,LAWRENCE ST,KELLOGG ST,10500,10500,9600,9600,9600
ROSELLE ST,DUNHILL ST,INTERSTATE 5 ON-RAMP,4100,4900,4900,3700,3700
ROSELLE ST,INTERSTATE 5 ON-RAMP,SORRENTO VALLEY BLVD,12400,12800,15600,15600,15600
ROSELLE ST,SORRENTO VALLEY BLVD,INTERSTATE 5 OFF-RAMP,12400,13500,13500,13500,15400
ROSELLE ST,INTERSTATE 5 OFF-RAMP,SOUTH END,12400,12400,12400,12400,12400
ROUTE 905/PASEO INTERNTL,OTAY MESA RD,AIRWAY RD,33200,33200,33200,33200,33200
ROUTE 905/PASEO INTERNTL,AIRWAY RD,SIEMPRE VIVA RD,32700,32700,32700,32700,32700
ROUTE 905/PASEO INTERNTL,SIEMPRE VIVA RD,U.S./MEXICO BORDER,26100,26100,26100,26100,26100
43RD ST RAMP,43RD ST,INTERSTATE 805,20800,20800,20800,20800,20800
RUFFIN CT,RUFFIN RD,GREENCRAIG LN,4700,5200,5200,5200,5200
RUFFIN RD,KEARNY VILLA RD,CLAIREMONT MESA BLVD,16100,15400,15400,15400,15400
RUFFIN RD,CLAIREMONT MESA BLVD,BALBOA AVE,30900,30900,30900,16500,16500
RUFFIN RD,BALBOA AVE,AERO DR,22100,22100,22100,21500,21700
RUFFIN RD,AERO DR,SUCCESS AVE,10500,11200,11200,11200,11200
RUFFIN RD,SUCCESS AVE,GRAMERCY DR,15100,15100,15100,10500,10500
RUFFNER ST,COPLEY PARK PL,CONVOY CT,7400,7400,7400,7400,7400
RUFFNER ST,CONVOY COURT,CLAIREMONT MESA BLVD,8300,7200,7200,7200,7200
RUFFNER ST,CLAIREMONT MESA BLVD,RONSON RD,7400,7400,7400,8700,8700
RUFFNER ST,RONSON RD,BALBOA AVE,8400,8400,8400,8400,11900
SABRE SPRINGS PKWY,TED WILLIAMS PKWY,MORNING CREEK DR (N),18200,18200,18200,18200,18200
SABRE SPRINGS PKWY,MORNING CREEK DR (N),POWAY RD,11800,11800,11800,11700,11700
SABRE SPRINGS PKWY,POWAY RD,CREEKVIEW DR,5700,5700,5400,6000,6000
SAIPAN DR,ALLEGHANY ST,POTOMAC ST,2800,2800,2800,2400,2400
SALMON RIVER RD,CARMEL MOUNTAIN RD,CALLE DE LAS ROSAS,2900,2900,2900,2400,2400
SAMPSON ST,HARBOR DR,MAIN ST,4300,4300,4300,4300,4300
SAMPSON ST,MAIN ST,NATIONAL AVE,3200,3200,3200,3700,3600
SAMPSON ST,NATIONAL AVE,INTERSTATE 5,2900,2900,2900,2900,2900
SAMPSON ST,INTERSTATE 5,OCEAN VIEW BLVD,3500,3500,3500,3500,3500
SAMPSON ST,OCEAN VIEW BLVD,28TH ST,3300,3300,3300,2700,2700
SAN ANDRES DR,HIGHLAND DR,VIA DE LA VALLE,7300,7300,7300,9700,10000
SAN ANDRES DR,VIA DE LA VALLE,TO THE SOUTH,6000,6000,6000,6000,6000
SAN CARLOS DR,LAKE MURRAY BLVD,BOULDER LAKE AVE,3400,3400,2400,2400,2400
SAN CARLOS DR,BOULDER LAKE BLVD,COWLES MOUNTAIN BLVD,1500,1500,1500,1500,1500
SAN DIEGO AVE/WALLACE ST,TAYLOR ST,CONGRESS ST,9100,9100,9100,9100,9100
SAN DIEGO AVE,CONGRESS ST,OLD TOWN AVE,10200,10200,10200,10200,10200
SAN DIEGO AVE,OLD TOWN AVE,NOELL ST,4500,4500,4100,4100,4100
SAN DIEGO AVE,NOELL ST,MCKEE/I-5 ON-RAMP,5800,5800,6000,6000,6000
SAN DIEGO AVE,MCKEE/I-5 ON-RAMP,WASHINGTON ST,13900,13900,13700,13700,13700
SAN DIEGO AVE,WASHINGTON ST,INDIA ST,4500,4500,4500,5100,5100
SAN DIEGO MISSION RD,FRIARS RD,INTERSTATE 15,6700,6700,6700,5500,5500
SAN DIEGO MISSION RD,INTERSTATE 15,RANCHO MISSION RD,5200,6400,6400,6400,6700
SAN DIEGO MISSION RD,RANCHO MISSION RD,FAIRMOUNT AVE,6700,16700,16700,16700,7000
SAN DIEGUITO RD,EL CAMINO REAL,CITY LIMITS,16700,12100,13600,13600,18300
SAN PASQUAL RD(Co. of SD),ROUTE 78,OLD PASQUAL RD,5000,5000,5000,5000,5000
SAN PASQUAL RD,OLD PASQUAL RD,RYAN DR,5000,5000,5000,4700,8700
SAN PASQUAL VLLY RD/RT 78,SAN PASQUAL RD,S.D. ANIMAL PARK ENTRANCE,9800,9800,9800,8700,8700
SAN PASQUAL VLLY RD/RT 78,S.D. ANIMAL PARK ENTRANCE,OLD PASQUAL RD,7200,10800,10800,10800,10800
SAN PASQUAL VLLY RD/RT 78,OLD PASQUAL RD,BANDY CANYON RD,9600,9600,9600,9600,9400
SAN VICENTE ST,MEADOWBROOK DR,CARDIFF ST,3200,3200,3200,3200,3800
SAN VICENTE ST,CARDIFF ST,CARLSBAD ST,3500,3500,3500,3500,3900
SAN YSIDRO BLVD (W),DAIRY MART RD,VIA DE SAN YSIDRO,11800,20500,20500,20500,11600
SAN YSIDRO BLVD (W),VIA DE SAN YSIDRO,I-805/CENTER ST,20500,20500,20500,26400,26400
SAN YSIDRO BLVD (E),I-805/CENTER ST,E BEYER BLVD,14300,14300,14300,14300,14300
SAN YSIDRO BLVD (E),E BEYER BLVD,RAIL CT,12900,12900,12900,15700,15700
SANDROCK RD,GREYLING DR,MURRAY RIDGE RD,9000,8600,8600,8600,8600
SANDROCK RD,MURRAY RIDGE RD,AERO DR,10400,10400,10400,10400,11400
SANTA BARBARA ST,NARRAGANSETT AVE,POINT LOMA AVE,1400,1400,1400,1700,1700
SANTA BARBARA ST,POINT LOMA AVE,CATALINA BLVD,1800,1800,1800,1700,1700
SANTA FE ST,GARNET AVE,DAMON AVE,2400,2400,2400,2400,2500
SANTA FE ST,DAMON AVE,NORTH END,4000,4000,4200,3800,3800
SANTA MONICA AVE,BACON ST,SUNSET CLIFFS BLVD,5600,5600,5600,5600,5600
SANTO RD,ROUTE 52,ANTIGUA BLVD,16500,16500,16500,19000,19000
SANTO RD,ANTIGUA BLVD,CLAIREMONT MESA BLVD,13700,13700,13700,13700,12400
SANTO RD,CLAIREMONT MESA BLVD,TIERRASANTA BLVD,11000,11000,11000,11500,9800
SANTO RD,TIERRASANTA BLVD,SHIELDS ST,7900,7900,7900,7900,7900
SANTO RD,SHIELDS ST,AERO DR,8600,8100,8100,8100,8100
SANTO RD,AERO DR,SCULPIN ST,6400,6400,6400,6400,6400
SANTO RD,ADMIRAL BAKER RD,FRIARS RD,12400,11100,11100,11100,11100
SANYO AVE,OTAY MESA RD,AIRWAY RD,5300,5700,5700,5700,5700
SATELLITE BLVD,THERMAL AVE,STANDLAKE ST,5400,5400,5400,5300,5300
SATELLITE BLVD,STANDLAKE ST,SATURN BLVD,5600,5500,5500,5500,5500
SATURN BLVD,BOUNDARY AVE,DORIS ST,22100,22100,22100,22100,22100
SATURN BLVD,DORIS ST,PALM AVE,24600,23400,23400,19800,25100
SATURN BLVD,PALM AVE,ELM AVE,17200,19000,19000,19000,17000
SATURN BLVD,ELM AVE,CORONADO AVE,13900,13900,13900,12500,12500
SATURN BLVD,CORONADO AVE,LEON AVE,9500,9500,9500,9500,9500
SATURN BLVD,LEON AVE,SUNSET AVE,1400,1400,1400,1400,1400
SCIENCE PARK RD,NORTH TORREY PINES RD,TORREYANA RD,4800,4800,4800,4800,4800
SCOTT ST,TALBOT ST,CANON ST,4300,4300,2800,2800,2800
SCOTT ST,CANON ST,SHELTER ISLAND DR,7800,7800,5400,5400,5400
SCOTT ST,SHELTER ISLAND DR,NORTH HARBOR DR,13300,12000,12000,14300,13800
SCRANTON RD,BARNES CANYON RD,MIRA MESA BLVD,14600,14600,14600,20100,16900
SCRANTON RD,MIRA MESA BLVD,CARROLL CANYON RD,13800,16700,16700,8800,8800
SCRIPPS LAKE DR,SCRIPPS RANCH BLVD,RED CEDAR DR,10200,10300,10300,10300,10800
SCRIPPS LAKE DR,RED CEDAR DR,TIMBERLAKE DR,11400,11400,11400,11400,11400
SCRIPPS POWAY PKWY,INTERSTATE 15,SPRING CANYON RD,46200,46200,44500,36100,36100
SCRIPPS POWAY PKWY,SPRING CANYON RD,E. CITY LIMITS,36600,36600,30100,30100,30100
SCRIPPS RANCH BLVD,MIRA MESA BLVD,SCRIPPS LAKE DR,19600,19600,18700,18700,18700
SCRIPPS RANCH BLVD,SCRIPPS LAKE DR,CARROLL CANYON RD,11500,11500,11400,11400,11400
SCRIPPS RANCH BLVD,CARROLL CANYON RD,AVIARY DR,10100,10100,6900,6900,6900
SCRIPPS RANCH BLVD,AVIARY DR,POMERADO RD,5500,5500,5500,5300,5000
SCRIPPS TRAIL,AVENIDA MAGNIFICA,TIMBERLAKE DR,3500,3500,3500,3600,3600
SCRIPPS TRAIL,TIMBERLAKE DR,SEMILLON BLVD,3800,3800,3800,3500,3500
SEA WORLD DR,WEST MISSION BAY DR,SEA WORLD WAY,44800,30200,30200,30200,38300
SEA WORLD DR,SEA WORLD WAY,FRIARS RD,32200,21100,21100,21100,21100
SEA WORLD DR,FRIARS RD,PACIFIC HWY,25500,25500,25500,25500,28200
SEA WORLD DR,PACIFIC HWY,INTERSTATE 5,28300,28300,28300,28300,27000
SEA WORLD WAY,SEA WORLD DR,TO THE NORTH,3300,3300,3300,3300,3300
SEMILLON BLVD,SPRING CANYON RD,POMERADO RD,3500,3500,3300,3300,3300
SEMILLON BLVD,POMERADO RD,FAIRBROOK RD,3800,3800,3300,3300,3300
SHAWLINE ST,CONVOY CT,CLAIREMONT MESA BLVD,13300,12300,14200,14200,13500
SHAWLINE ST,CLAIREMONT MESA BLVD,RONSON RD,10600,8400,8400,14200,18000
SHELTER ISLAND DR,ROSECRANS ST,SCOTT ST,10400,10400,6100,6100,6100
SHELTER ISLAND DR,SCOTT ST,SHELTER ISLAND DR (CIR),14200,14200,14200,14200,14200
SHELTER ISLAND DR,SOUTHWEST END,SHELTER ISLAND DR (CIR),5300,5300,5300,5300,5300
SHELTER ISLAND DR,SHELTER ISLAND DR (CIR),NORTHEAST END,9600,9600,5200,5200,5200
SHERMAN ST,MORENA BLVD,SOUTH END,5600,5600,5600,4900,4900
SHOAL CREEK DR,TED WILLIAMS PKWY,STONEY GATE PL,4900,4900,4900,5700,5700
SHOAL CREEK DR,STONEY GATE PL,RANCHO CARMEL DR,5200,5200,5200,2400,2400
SIEMPRE VIVA RD,CACTUS RD,BRITANNIA BLVD,2100,2200,2200,2200,2200
SIEMPRE VIVA RD,BRITANNIA BLVD,LA MEDIA RD,400,400,400,3700,3700
SIEMPRE VIVA RD,LA MEDIA RD,AVENIDA COSTA BRAVA,4400,6500,6500,5700,5700
SIEMPRE VIVA RD,AVENIDA COSTA BRAVA,HARVEST RD,4800,4800,4800,8600,8600
SIEMPRE VIVA RD,HARVEST RD,OTAY CENTER DR,4800,4800,4800,13500,13500
SIEMPRE VIVA RD,OTAY CENTER DR,RT 905/PASEO INTERN'L,15800,16900,16900,16900,16500
SIEMPRE VIVA RD,RT 905/PASEO INTERN'L,PASEO DE LAS AMERICAS,22400,22400,22400,26300,26300
SIEMPRE VIVA RD,PASEO DE LAS AMERICAS,ENRICO FERMI DR,5700,5800,5800,5800,11200
SKYLINE DR,58TH ST,61ST ST,8700,8700,6200,6200,6200
SKYLINE DR,61ST ST,69TH ST,12100,12100,11200,12700,12700
SKYLINE DR,69TH ST,SYCHAR RD,14300,14300,14300,10600,10600
SKYLINE DR,SYCHAR RD,MEADOWBROOK DR,7000,7000,7000,7000,7000
SKYLINE DR,MEADOWBROOK DR,CARDIFF ST,5600,5200,5200,5200,9800
SMYTHE AVE,ROUTE 905,BEYER BLVD,17300,17200,17200,17200,17200
SOLEDAD MOUNTAIN RD,LA JOLLA SCENIC DR (S),SOLEDAD RD,9500,9500,11900,11900,11900
SOLEDAD MOUNTAIN RD,SOLEDAD RD,BERYL ST,9100,10100,11900,11900,12700
SOLEDAD MOUNTAIN RD,BERYL ST,GARNET AVE,19500,19500,26200,26200,26200
SOLEDAD RD,SOLEDAD MOUNTAIN RD,ALTA LA JOLLA DR,2400,2400,2400,2400,2400
SOLEDAD RD,ALTA LA JOLLA DR,LAMONT ST/LORING ST,3900,3900,3600,3600,5700
SORRENTO VALLEY BLVD,ROSELLE ST,SORRENTO VALLEY RD,24000,23300,23300,23300,23300
SORRENTO VALLEY BLVD,SORRENTO VALLEY RD,VISTA SORRENTO PKWY,16500,17100,17100,17100,18700
SORRENTO VALLEY BLVD,VISTA SORRENTO PKWY,LOPEZ CANYON PARK RD,12400,17600,17600,17600,13300
SORRENTO VALLEY BLVD,LOPEZ CANYON PARK RD,CAMINO SANTA FE,11700,11700,11700,14200,15300
SORRENTO VALLEY RD,CARMEL MOUNTIAN RD,SORRENTO VALLEY BLVD,7500,8200,8200,8200,13100
SORRENTO VALLEY RD,SORRENTO VALLEY BLVD,INTERSTATE 805,12100,11900,11900,11900,14100
SPORTS ARENA BLVD,INTERSTATE 8,MIDWAY DR,31200,31600,30500,30500,32900
SPORTS ARENA BLVD,MIDWAY DR,KEMPER ST,20400,20400,17300,18400,18400
SPORTS ARENA BLVD,KEMPER ST,ROSECRANS ST,26800,26800,26800,19500,19500
SPORTS ARENA BLVD,ROSECRANS ST,PACIFIC HWY,2100,2100,2100,1500,1500
SPRING CANYON RD,SCRIPPS POWAY PKWY,SCRIPPS CREEK RD,10500,11000,11000,12100,13700
SPRING CANYON RD,SCRIPPS CREEK RD,BLUE CYPRESS DR,12000,12100,12700,12700,14000
SPRING CANYON RD,BLUE CYPRESS DR,SEMILLON BLVD,11600,11600,11600,12000,12000
SPRING CANYON RD,SEMILLON BLVD,POMERADO RD,8100,8900,9000,9900,9300
SPRINGHURST RD,POWAY RD,SABRE SPRINGS PKWY,3700,3700,3800,3800,3800
SPRINGHURST RD,SABRE SPRINGS PKWY,SPRINGBROOK DR,4300,4300,4300,2400,2400
STALMER ST,ASHFORD ST,ATLAS ST,7000,8100,8100,5100,5100
STALMER ST,ATLAS ST,LINDA VISTA RD,6700,6700,6700,6700,6700
STARLING DR,HEALTH CENTER DR,MEADOWLARK DR,10100,8900,8900,8900,9600
STATE ST,LAUREL ST,JUNIPER ST,4100,4100,4100,4400,4400
STATE ST,JUNIPER ST,HAWTHORN ST,2400,2400,2000,2000,2000
STATE ST,HAWTHORN ST,GRAPE ST,1500,1500,1500,1500,1500
STATE ST,GRAPE ST,ASH ST,3000,3000,3000,3000,3000
STATE ST,ASH ST,A ST,2400,2400,2400,3600,3600
STATE ST,A ST,BROADWAY,2500,2900,2900,2900,2900
STATE ST,BROADWAY,F ST,2800,2800,2800,2800,2800
STATE ST,F ST,G ST,1700,1700,1700,2500,2500
STATE ST,G ST,MARKET ST,1200,1200,1200,1500,1500
STONECREST BLVD,DALEY CENTER DR,MURPHY CANYON RD,7300,7300,7300,5900,5900
STONEY PEAK DR,CARMEL MOUNTAIN RD,SEABRIDGE LANE,6800,6800,6800,7400,7400
STREAMVIEW DR,54TH ST,COLLEGE AVE,3600,3600,3200,4200,7500
STRESEMANN ST,ARNOLDSON AVE,GOVERNOR DR,2800,2800,2800,2000,2000
STRESEMANN ST,GOVERNOR DR,PENNANT WAY,2800,2800,2800,3900,3900
STRESEMANN ST/SODERBLOM,PENNANT WAY,QUIDDLE AVE/BARKLA ST,4800,4800,4800,4800,4800
SUNSET BLVD/RD,JUAN ST,FORT STOCKTON DR,2600,2600,2600,2600,1600
SUNSET CLIFFS BLVD,WEST MISSION BAY DR,NIMITZ BLVD/I-8,25200,24200,24200,30400,31100
SUNSET CLIFFS BLVD,NIMITZ BLVD/I-8,WEST POINT LOMA BLVD,33700,35100,35100,33500,33500
SUNSET CLIFFS BLVD,WEST POINT LOMA BLVD,VOLTAIRE ST,21800,23000,24200,24200,22500
SUNSET CLIFFS BLVD,VOLTAIRE ST,NEWPORT AVE,21400,21400,21400,18400,18400
SUNSET CLIFFS BLVD,NEWPORT AVE,NARRAGANSETT AVE,12600,12600,13600,13000,13000
SUNSET CLIFFS BLVD,NARRAGANSETT AVE,POINT LOMA AVE,14700,14700,14700,10200,10200
SUNSET CLIFFS BLVD,POINT LOMA AVE,CORDOVA ST,4400,4400,4400,5100,5100
SUNSET CLIFFS BLVD,CORDOVA ST,HILL ST,5400,5400,2800,2800,2800
SWIFT AVE,UNIVERSITY AVE,WIGHTMAN ST,5400,5400,5400,6000,6000
SWIFT AVE,WIGHTMAN ST,LANDIS ST,6800,6800,6800,6800,6800
SYCHAR RD,69TH ST,SKYLINE DR,2700,2700,2800,2800,2800
TAIT ST,BURTON ST,COOLIDGE ST,3400,3400,3400,3400,4500
TALBOT ST,CATALINA BLVD,CANON ST,4800,4800,4400,4400,4800
TALBOT ST,CANON ST,ROSECRANS ST,6000,6000,6000,8700,4700
TALBOT ST,ROSECRANS ST,SCOTT ST,4700,4700,5000,5000,5000
TAYLOR ST,PACIFIC HWY,CONGRESS ST,20200,20200,20200,19500,19500
TAYLOR ST,CONGRESS ST,JUAN ST,13600,17100,17100,17100,18300
TAYLOR ST,JUAN ST,MORENA BLVD,17500,17500,18600,18600,18600
TAYLOR ST,MORENA BLVD,INTERSTATE 8 RAMPS,13100,15500,15500,14900,15300
TAYLOR ST,INTERSTATE 8 RAMPS,HOTEL CIRCLE SOUTH,14600,14600,14600,14600,14600
TECOLOTE RD,MORENA BLVD,INTERSTATE 5,22700,21800,21800,21600,21100
TED WILLIAMS PKWY,INTERSTATE 15,SABRE SPRG/RHO CARMEL DR,32100,32100,32100,35300,35300
TED WILLIAMS PKWY,SABRE SPRG/RHO CARMEL DR,HIGHLAND RANCH RD,30100,30100,29900,29900,29900
TEXAS ST,INTERSTATE 8,CAMINO DEL RIO SOUTH,29600,30100,30100,30100,33200
TEXAS ST,CAMINO DEL RIO SOUTH,ADAMS AVE,26100,26100,26100,26100,26100
TEXAS ST,ADAMS AVE,MADISON AVE,27300,28300,28300,28300,30200
TEXAS ST,MADISON,EL CAJON BLVD,25900,15600,15600,15600,15700
TEXAS ST,EL CAJON BLVD,HOWARD AVE,11000,11000,11000,11000,12000
TEXAS ST,HOWARD AVE,UNIVERSITY AVE,8000,8000,8000,6600,6600
TEXAS ST,UNIVERSITY AVE,UPAS ST,3700,4000,4000,4000,3200
THERMAL AVE,CORONADO AVE,FERN AVE,3400,3400,3400,3400,3000
THORN ST,32ND ST,BOUNDARY ST,1900,1900,1900,1900,1900
THORN ST,BOUNDARY ST,NILE ST,2200,2200,2200,3200,3200
TIERRASANTA BLVD,INTERSTATE 15,SANTO RD,22500,22200,22200,22200,22700
TIERRASANTA BLVD,SANTO RD,LA CUENTA DR,20300,20300,20300,21600,23900
TIERRASANTA BLVD,LA CUENTA DR,TAMBOR,10300,10300,10900,10900,10900
TIERRASANTA BLVD,TAMBOR DR,COLINA DORADO,5000,5000,5000,5000,5000
TIMBERLAKE DR,SCRIPPS LAKE DR,SCRIPPS TRAIL,2400,2400,2400,3400,3400
TOCAYO AVE,HOLLISTER ST,ORO VISTA RD,11300,11500,11500,11500,11500
TONAWANDA DR,REO DR (W),PARKSIDE AVE/REO DR (E),12300,12300,11000,11000,11000
TORREY PINES RD,LA JOLLA VILLAGE DR,LA JOLLA PKWY,22000,23100,23100,23100,23800
TORREY PINES RD,LA JOLLA PKWY,LA JOLLA SHORES DR,50800,50800,50800,50800,27200
TORREY PINES RD,LA JOLLA SHORES DR,CALLE DE LA PLATA,55100,55100,55100,55100,55100
TORREY PINES RD,CALLE DE LA PLATA,PROSPECT PL,52900,52900,53300,53300,48500
TORREY PINES RD,PROSPECT PL,EXCHANGE PL,38000,38000,36600,36600,34700
TORREY PINES RD,EXCHANGE PL,GIRARD AVE,39100,39100,39100,39100,39100
TOWNE CENTRE DR,TOWNE CENTRE CT,EASTGATE MALL,8400,8400,5700,5700,5700
TOWNE CENTRE DR,EASTGATE MALL,LA JOLLA VILLAGE DR,15200,15200,15200,12400,15700
TOWNE CENTRE DR,LA JOLLA VILLAGE DR,GOLDEN HAVEN DR,18500,18500,18500,19800,19800
TOWNE CENTRE DR,GOLDEN HAVEN DR,NOBEL DR,11700,11700,11700,8900,11900
TOWNSGATE DR,EL CAMINO REAL,CARMEL COUNTRY RD,4400,4400,4400,4400,4400
TRADE ST,CAMINO SANTA FE,CARROLL WY,5400,5400,4900,4900,4900
TRADE ST,CARROLL WY,KENAMAR DR,4800,4800,5000,5000,5000
TRINIDAD WAY,EUCLID AVE,58TH ST,2700,2700,2400,2400,2400
TURQUOISE ST,FANUEL ST,CASS ST,13500,13500,13600,13600,13600
TURQUOISE ST,CASS ST,MISSION BLVD,12700,12700,12700,13500,14100
TURQUOISE ST,MISSION BLVD,LA JOLLA BLVD,7200,7200,7200,7200,7300
TWAIN AVE,FAIRMOUNT AVE,MISSION GORGE RD,5400,5400,5400,5400,5400
TWAIN AVE/50TH ST,MISSION GORGE RD,ORCUTT AVE,2700,2700,2700,2700,1100
TWIGGS ST,JUAN ST,CONGRESS ST,2100,2100,2100,2100,2100
TWIN TRAILS DR/OVIEDO ST,BLACK MOUNTAIN RD,CARMEL MOUNTAIN RD,11600,11600,15300,15300,15300
TWIN TRAILS DR,CARMEL MOUNTAIN RD,SUNDANCE AVE,7400,7400,5400,5400,5400
TWIN TRAILS DR,SUNDANCE AVE,BLACK MOUNTAIN RD,2200,2200,2200,2200,2200
TWIN TRAILS DR,BLACK MOUNTAIN RD,FAIRGROVE LN,4900,4900,4900,6300,6300
TWINING AVE,PALM AVE,DEL SOL BLVD,900,900,1200,1200,1200
ULRIC ST,OSLER ST,LINDA VISTA RD,5400,5400,5400,5800,6100
ULRIC ST,LINDA VISTA RD,COMSTOCK ST,8200,8200,8900,8900,8900
ULRIC ST,COMSTOCK ST,FRIARS RD,19200,19500,19500,19500,15800
ULRIC ST (RT 163 RAMP),FRIARS RD,ROUTE 163,13500,13500,16600,16600,16600
UNIVERSITY AVE,WASHINGTON ST,GOLDFINCH ST,9400,9400,8900,8900,8900
UNIVERSITY AVE,GOLDFINCH ST,1ST AVE,12200,10500,10500,10500,11100
UNIVERSITY AVE,1ST AVE,4TH AVE,13900,13900,10100,10100,10100
UNIVERSITY AVE,4TH AVE,5TH AVE,18700,18700,18700,17800,17800
UNIVERSITY AVE,5TH AVE,6TH AVE,28300,29000,29000,21100,14800
UNIVERSITY AVE,6TH AVE,ROUTE 163,25100,25300,21200,21200,25800
UNIVERSITY AVE,ROUTE 163,RICHMOND ST,23500,22000,22000,20000,18800
UNIVERSITY AVE,RICHMOND ST,PARK BLVD,20700,20700,18800,18200,18200
UNIVERSITY AVE,PARK BLVD,FLORIDA ST,20100,20100,20100,18600,18600
